what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497289006193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289013776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289083664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289084480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289085624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289086610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289088856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497289093834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289098976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289100395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289102361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289103454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289110332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289115485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497289117466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289138650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289140259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289148051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497289154491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497289158473
